model,strategy,parameter,level,records,invalid_records,invalid_share,dominant_invalid_status,dominant_invalid_status_count,max_invalid_market_residual
single_country,virgin_material_tax,sigma_routes,1.25,2916,0,0.0,none,0,0.0
single_country,virgin_material_tax,sigma_routes,2.0,2916,18,0.006172839506172839,ITERATION_LIMIT,9,10.971299681064067
single_country,virgin_material_tax,sigma_routes,3.0,2916,39,0.013374485596707819,LOCALLY_INFEASIBLE,36,4.410642289694579
single_country,virgin_material_tax,sigma_metal,1.25,2916,9,0.0030864197530864196,ITERATION_LIMIT,6,10.971299681064067
single_country,virgin_material_tax,sigma_metal,2.0,2916,24,0.00823045267489712,LOCALLY_INFEASIBLE,18,4.410642289694579
single_country,virgin_material_tax,sigma_metal,3.0,2916,24,0.00823045267489712,LOCALLY_INFEASIBLE,24,5.5706550483591855e-11
single_country,virgin_material_tax,sigma_eol,0.5,2916,19,0.006515775034293553,LOCALLY_INFEASIBLE,15,10.971299681064067
single_country,virgin_material_tax,sigma_eol,2.0,2916,19,0.006515775034293553,LOCALLY_INFEASIBLE,15,10.971299681064067
single_country,virgin_material_tax,sigma_eol,4.0,2916,19,0.006515775034293553,LOCALLY_INFEASIBLE,15,10.971299681064067
single_country,virgin_material_tax,eta_service,0.5,2916,0,0.0,none,0,0.0
single_country,virgin_material_tax,eta_service,1.0,2916,57,0.01954732510288066,LOCALLY_INFEASIBLE,45,10.971299681064067
single_country,virgin_material_tax,eta_service,1.5,2916,0,0.0,none,0,0.0
single_country,virgin_material_tax,metal_quality,0.75,2916,27,0.009259259259259259,LOCALLY_INFEASIBLE,21,0.31913135887759836
single_country,virgin_material_tax,metal_quality,0.85,2916,18,0.006172839506172839,LOCALLY_INFEASIBLE,15,4.410642289694579
single_country,virgin_material_tax,metal_quality,0.95,2916,12,0.00411522633744856,LOCALLY_INFEASIBLE,9,10.971299681064067
single_country,virgin_material_tax,metal_intensity_ref,0.15,2916,21,0.00720164609053498,LOCALLY_INFEASIBLE,18,0.05241335003512404
single_country,virgin_material_tax,metal_intensity_ref,0.25,2916,15,0.0051440329218107,LOCALLY_INFEASIBLE,12,4.410642289694579
single_country,virgin_material_tax,metal_intensity_ref,0.35,2916,21,0.00720164609053498,LOCALLY_INFEASIBLE,15,10.971299681064067
single_country,virgin_material_tax,yield_ref,3.0,2916,9,0.0030864197530864196,LOCALLY_INFEASIBLE,6,10.971299681064067
single_country,virgin_material_tax,yield_ref,4.0,2916,15,0.0051440329218107,LOCALLY_INFEASIBLE,15,5.5706550483591855e-11
single_country,virgin_material_tax,yield_ref,5.0,2916,33,0.01131687242798354,LOCALLY_INFEASIBLE,24,4.410642289694579
single_country,refurbishment_support,sigma_routes,1.25,2916,1,0.0003429355281207133,ALMOST_LOCALLY_SOLVED,1,1.1368683772161603e-12
single_country,refurbishment_support,sigma_routes,2.0,2916,21,0.00720164609053498,ITERATION_LIMIT,10,0.6086610471004406
single_country,refurbishment_support,sigma_routes,3.0,2916,72,0.024691358024691357,LOCALLY_INFEASIBLE,59,2.3839211300110605
single_country,refurbishment_support,sigma_metal,1.25,2916,11,0.0037722908093278463,LOCALLY_INFEASIBLE,7,0.2946333747018457
single_country,refurbishment_support,sigma_metal,2.0,2916,37,0.012688614540466393,LOCALLY_INFEASIBLE,20,2.3839211300110605
single_country,refurbishment_support,sigma_metal,3.0,2916,46,0.01577503429355281,LOCALLY_INFEASIBLE,41,0.6086610471004406
single_country,refurbishment_support,sigma_eol,0.5,2916,35,0.012002743484224965,LOCALLY_INFEASIBLE,27,0.45451897608580794
single_country,refurbishment_support,sigma_eol,2.0,2916,26,0.008916323731138546,LOCALLY_INFEASIBLE,20,0.31913135887759836
single_country,refurbishment_support,sigma_eol,4.0,2916,33,0.01131687242798354,LOCALLY_INFEASIBLE,21,2.3839211300110605
single_country,refurbishment_support,eta_service,0.5,2916,0,0.0,none,0,0.0
single_country,refurbishment_support,eta_service,1.0,2916,91,0.031207133058984912,LOCALLY_INFEASIBLE,65,2.3839211300110605
single_country,refurbishment_support,eta_service,1.5,2916,3,0.00102880658436214,LOCALLY_INFEASIBLE,3,3.979039320256561e-13
single_country,refurbishment_support,metal_quality,0.75,2916,32,0.010973936899862825,LOCALLY_INFEASIBLE,24,0.31913135887759836
single_country,refurbishment_support,metal_quality,0.85,2916,25,0.008573388203017833,LOCALLY_INFEASIBLE,18,0.5671698966881422
single_country,refurbishment_support,metal_quality,0.95,2916,37,0.012688614540466393,LOCALLY_INFEASIBLE,26,2.3839211300110605
single_country,refurbishment_support,metal_intensity_ref,0.15,2916,18,0.006172839506172839,LOCALLY_INFEASIBLE,15,0.45451897608580794
single_country,refurbishment_support,metal_intensity_ref,0.25,2916,35,0.012002743484224965,LOCALLY_INFEASIBLE,24,2.3839211300110605
single_country,refurbishment_support,metal_intensity_ref,0.35,2916,41,0.014060356652949246,LOCALLY_INFEASIBLE,29,0.6086610471004406
single_country,refurbishment_support,yield_ref,3.0,2916,36,0.012345679012345678,LOCALLY_INFEASIBLE,24,0.5671698966881422
single_country,refurbishment_support,yield_ref,4.0,2916,22,0.0075445816186556925,LOCALLY_INFEASIBLE,16,0.6086610471004406
single_country,refurbishment_support,yield_ref,5.0,2916,36,0.012345679012345678,LOCALLY_INFEASIBLE,28,2.3839211300110605
single_country,recycling_support,sigma_routes,1.25,2916,2,0.0006858710562414266,ALMOST_LOCALLY_SOLVED,1,0.26940689874157897
single_country,recycling_support,sigma_routes,2.0,2916,21,0.00720164609053498,ITERATION_LIMIT,10,0.6788974569681159
single_country,recycling_support,sigma_routes,3.0,2916,41,0.014060356652949246,LOCALLY_INFEASIBLE,35,6.6948111114153335
single_country,recycling_support,sigma_metal,1.25,2916,13,0.004458161865569273,LOCALLY_INFEASIBLE,8,0.6788974569681159
single_country,recycling_support,sigma_metal,2.0,2916,18,0.006172839506172839,LOCALLY_INFEASIBLE,10,0.5920247405836108
single_country,recycling_support,sigma_metal,3.0,2916,33,0.01131687242798354,LOCALLY_INFEASIBLE,26,6.6948111114153335
single_country,recycling_support,sigma_eol,0.5,2916,26,0.008916323731138546,LOCALLY_INFEASIBLE,18,6.6948111114153335
single_country,recycling_support,sigma_eol,2.0,2916,23,0.007887517146776405,LOCALLY_INFEASIBLE,14,0.5920247405836108
single_country,recycling_support,sigma_eol,4.0,2916,15,0.0051440329218107,LOCALLY_INFEASIBLE,12,0.31913135887759836
single_country,recycling_support,eta_service,0.5,2916,0,0.0,none,0,0.0
single_country,recycling_support,eta_service,1.0,2916,62,0.021262002743484224,LOCALLY_INFEASIBLE,42,6.6948111114153335
single_country,recycling_support,eta_service,1.5,2916,2,0.0006858710562414266,LOCALLY_INFEASIBLE,2,2.0889956431346945e-10
single_country,recycling_support,metal_quality,0.75,2916,21,0.00720164609053498,LOCALLY_INFEASIBLE,13,0.6788974569681159
single_country,recycling_support,metal_quality,0.85,2916,21,0.00720164609053498,LOCALLY_INFEASIBLE,15,0.5920247405836108
single_country,recycling_support,metal_quality,0.95,2916,22,0.0075445816186556925,LOCALLY_INFEASIBLE,16,6.6948111114153335
single_country,recycling_support,metal_intensity_ref,0.15,2916,19,0.006515775034293553,LOCALLY_INFEASIBLE,16,0.42945237687342797
single_country,recycling_support,metal_intensity_ref,0.25,2916,23,0.007887517146776405,LOCALLY_INFEASIBLE,16,6.6948111114153335
single_country,recycling_support,metal_intensity_ref,0.35,2916,22,0.0075445816186556925,LOCALLY_INFEASIBLE,12,0.6788974569681159
single_country,recycling_support,yield_ref,3.0,2916,16,0.0054869684499314125,LOCALLY_INFEASIBLE,11,0.6788974569681159
single_country,recycling_support,yield_ref,4.0,2916,21,0.00720164609053498,LOCALLY_INFEASIBLE,16,6.6948111114153335
single_country,recycling_support,yield_ref,5.0,2916,27,0.009259259259259259,LOCALLY_INFEASIBLE,17,0.31913135887759836
two_country,virgin_material_tax,sigma_routes,1.25,2916,0,0.0,none,0,0.0
two_country,virgin_material_tax,sigma_routes,2.0,2916,6,0.00205761316872428,LOCALLY_INFEASIBLE,6,5.684341886080802e-14
two_country,virgin_material_tax,sigma_routes,3.0,2916,33,0.01131687242798354,LOCALLY_INFEASIBLE,33,6.821210263296962e-13
two_country,virgin_material_tax,sigma_metal,1.25,2916,0,0.0,none,0,0.0
two_country,virgin_material_tax,sigma_metal,2.0,2916,9,0.0030864197530864196,LOCALLY_INFEASIBLE,9,5.684341886080802e-14
two_country,virgin_material_tax,sigma_metal,3.0,2916,30,0.0102880658436214,LOCALLY_INFEASIBLE,30,6.821210263296962e-13
two_country,virgin_material_tax,sigma_eol,0.5,2916,13,0.004458161865569273,LOCALLY_INFEASIBLE,13,6.821210263296962e-13
two_country,virgin_material_tax,sigma_eol,2.0,2916,13,0.004458161865569273,LOCALLY_INFEASIBLE,13,6.821210263296962e-13
two_country,virgin_material_tax,sigma_eol,4.0,2916,13,0.004458161865569273,LOCALLY_INFEASIBLE,13,6.821210263296962e-13
two_country,virgin_material_tax,eta_service,0.5,2916,0,0.0,none,0,0.0
two_country,virgin_material_tax,eta_service,1.0,2916,39,0.013374485596707819,LOCALLY_INFEASIBLE,39,6.821210263296962e-13
two_country,virgin_material_tax,eta_service,1.5,2916,0,0.0,none,0,0.0
two_country,virgin_material_tax,metal_quality,0.75,2916,15,0.0051440329218107,LOCALLY_INFEASIBLE,15,5.684341886080802e-14
two_country,virgin_material_tax,metal_quality,0.85,2916,15,0.0051440329218107,LOCALLY_INFEASIBLE,15,6.821210263296962e-13
two_country,virgin_material_tax,metal_quality,0.95,2916,9,0.0030864197530864196,LOCALLY_INFEASIBLE,9,1.7053025658242404e-13
two_country,virgin_material_tax,metal_intensity_ref,0.15,2916,12,0.00411522633744856,LOCALLY_INFEASIBLE,12,5.684341886080802e-14
two_country,virgin_material_tax,metal_intensity_ref,0.25,2916,12,0.00411522633744856,LOCALLY_INFEASIBLE,12,6.821210263296962e-13
two_country,virgin_material_tax,metal_intensity_ref,0.35,2916,15,0.0051440329218107,LOCALLY_INFEASIBLE,15,1.7053025658242404e-13
two_country,virgin_material_tax,yield_ref,3.0,2916,12,0.00411522633744856,LOCALLY_INFEASIBLE,12,6.821210263296962e-13
two_country,virgin_material_tax,yield_ref,4.0,2916,15,0.0051440329218107,LOCALLY_INFEASIBLE,15,5.684341886080802e-14
two_country,virgin_material_tax,yield_ref,5.0,2916,12,0.00411522633744856,LOCALLY_INFEASIBLE,12,5.684341886080802e-14
two_country,refurbishment_support,sigma_routes,1.25,2916,0,0.0,none,0,0.0
two_country,refurbishment_support,sigma_routes,2.0,2916,5,0.0017146776406035665,LOCALLY_INFEASIBLE,3,0.1587592727333913
two_country,refurbishment_support,sigma_routes,3.0,2916,21,0.00720164609053498,LOCALLY_INFEASIBLE,17,4.703792910731863e-10
two_country,refurbishment_support,sigma_metal,1.25,2916,1,0.0003429355281207133,ALMOST_LOCALLY_SOLVED,1,5.684341886080802e-14
two_country,refurbishment_support,sigma_metal,2.0,2916,11,0.0037722908093278463,LOCALLY_INFEASIBLE,8,0.1587592727333913
two_country,refurbishment_support,sigma_metal,3.0,2916,14,0.004801097393689987,LOCALLY_INFEASIBLE,12,4.703792910731863e-10
two_country,refurbishment_support,sigma_eol,0.5,2916,10,0.003429355281207133,LOCALLY_INFEASIBLE,9,3.2173375075217336e-11
two_country,refurbishment_support,sigma_eol,2.0,2916,10,0.003429355281207133,LOCALLY_INFEASIBLE,7,0.1587592727333913
two_country,refurbishment_support,sigma_eol,4.0,2916,6,0.00205761316872428,LOCALLY_INFEASIBLE,4,1.8758328224066645e-11
two_country,refurbishment_support,eta_service,0.5,2916,1,0.0003429355281207133,LOCALLY_INFEASIBLE,1,3.2173375075217336e-11
two_country,refurbishment_support,eta_service,1.0,2916,24,0.00823045267489712,LOCALLY_INFEASIBLE,19,0.1587592727333913
two_country,refurbishment_support,eta_service,1.5,2916,1,0.0003429355281207133,ALMOST_LOCALLY_SOLVED,1,1.8758328224066645e-11
two_country,refurbishment_support,metal_quality,0.75,2916,8,0.0027434842249657062,LOCALLY_INFEASIBLE,6,0.1587592727333913
two_country,refurbishment_support,metal_quality,0.85,2916,12,0.00411522633744856,LOCALLY_INFEASIBLE,9,1.8758328224066645e-11
two_country,refurbishment_support,metal_quality,0.95,2916,6,0.00205761316872428,LOCALLY_INFEASIBLE,5,4.703792910731863e-10
two_country,refurbishment_support,metal_intensity_ref,0.15,2916,14,0.004801097393689987,LOCALLY_INFEASIBLE,12,5.684341886080802e-14
two_country,refurbishment_support,metal_intensity_ref,0.25,2916,6,0.00205761316872428,LOCALLY_INFEASIBLE,4,4.703792910731863e-10
two_country,refurbishment_support,metal_intensity_ref,0.35,2916,6,0.00205761316872428,LOCALLY_INFEASIBLE,4,0.1587592727333913
two_country,refurbishment_support,yield_ref,3.0,2916,5,0.0017146776406035665,LOCALLY_INFEASIBLE,4,3.2173375075217336e-11
two_country,refurbishment_support,yield_ref,4.0,2916,6,0.00205761316872428,LOCALLY_INFEASIBLE,4,2.6773250283440575e-11
two_country,refurbishment_support,yield_ref,5.0,2916,15,0.0051440329218107,LOCALLY_INFEASIBLE,12,0.1587592727333913
two_country,recycling_support,sigma_routes,1.25,2916,0,0.0,none,0,0.0
two_country,recycling_support,sigma_routes,2.0,2916,4,0.0013717421124828531,LOCALLY_INFEASIBLE,3,7.105427357601002e-15
two_country,recycling_support,sigma_routes,3.0,2916,23,0.007887517146776405,LOCALLY_INFEASIBLE,18,1.1949211096671206
two_country,recycling_support,sigma_metal,1.25,2916,0,0.0,none,0,0.0
two_country,recycling_support,sigma_metal,2.0,2916,7,0.0024005486968449933,LOCALLY_INFEASIBLE,5,0.1998850927320177
two_country,recycling_support,sigma_metal,3.0,2916,20,0.006858710562414266,LOCALLY_INFEASIBLE,16,1.1949211096671206
two_country,recycling_support,sigma_eol,0.5,2916,10,0.003429355281207133,LOCALLY_INFEASIBLE,7,0.1998850927320177
two_country,recycling_support,sigma_eol,2.0,2916,6,0.00205761316872428,LOCALLY_INFEASIBLE,5,0.3194839842176975
two_country,recycling_support,sigma_eol,4.0,2916,11,0.0037722908093278463,LOCALLY_INFEASIBLE,9,1.1949211096671206
two_country,recycling_support,eta_service,0.5,2916,0,0.0,none,0,0.0
two_country,recycling_support,eta_service,1.0,2916,27,0.009259259259259259,LOCALLY_INFEASIBLE,21,1.1949211096671206
two_country,recycling_support,eta_service,1.5,2916,0,0.0,none,0,0.0
two_country,recycling_support,metal_quality,0.75,2916,10,0.003429355281207133,LOCALLY_INFEASIBLE,7,1.1949211096671206
two_country,recycling_support,metal_quality,0.85,2916,12,0.00411522633744856,LOCALLY_INFEASIBLE,11,0.1998850927320177
two_country,recycling_support,metal_quality,0.95,2916,5,0.0017146776406035665,LOCALLY_INFEASIBLE,3,7.469225238310173e-11
two_country,recycling_support,metal_intensity_ref,0.15,2916,14,0.004801097393689987,LOCALLY_INFEASIBLE,13,5.9117155615240335e-12
two_country,recycling_support,metal_intensity_ref,0.25,2916,4,0.0013717421124828531,LOCALLY_INFEASIBLE,3,7.469225238310173e-11
two_country,recycling_support,metal_intensity_ref,0.35,2916,9,0.0030864197530864196,LOCALLY_INFEASIBLE,5,1.1949211096671206
two_country,recycling_support,yield_ref,3.0,2916,5,0.0017146776406035665,LOCALLY_INFEASIBLE,4,5.9117155615240335e-12
two_country,recycling_support,yield_ref,4.0,2916,6,0.00205761316872428,LOCALLY_INFEASIBLE,5,0.1998850927320177
two_country,recycling_support,yield_ref,5.0,2916,16,0.0054869684499314125,LOCALLY_INFEASIBLE,12,1.1949211096671206
